,Survived,Pclass,Age,SibSp,Parch,Gender
106,1,3,21.0,0,0,1
107,1,3,,0,0,0
108,0,3,38.0,0,0,0
109,1,3,,1,0,1
110,0,1,47.0,0,0,0
111,0,3,14.5,1,0,1
112,0,3,22.0,0,0,0
113,0,3,20.0,1,0,1
114,0,3,17.0,0,0,1
115,0,3,21.0,0,0,0
116,0,3,70.5,0,0,0
117,0,2,29.0,1,0,0
118,0,1,24.0,0,1,0
119,0,3,2.0,4,2,1
120,0,2,21.0,2,0,0
121,0,3,,0,0,0
122,0,2,32.5,1,0,0
123,1,2,32.5,0,0,1
124,0,1,54.0,0,1,0
125,1,3,12.0,1,0,0
126,0,3,,0,0,0
127,1,3,24.0,0,0,0
128,1,3,,1,1,1
129,0,3,45.0,0,0,0
130,0,3,33.0,0,0,0
131,0,3,20.0,0,0,0
132,0,3,47.0,1,0,1
133,1,2,29.0,1,0,1
134,0,2,25.0,0,0,0
135,0,2,23.0,0,0,0
136,1,1,19.0,0,2,1
137,0,1,37.0,1,0,0
138,0,3,16.0,0,0,0
139,0,1,24.0,0,0,0
140,0,3,,0,2,1
141,1,3,22.0,0,0,1
142,1,3,24.0,1,0,1
143,0,3,19.0,0,0,0
144,0,2,18.0,0,0,0
145,0,2,19.0,1,1,0
146,1,3,27.0,0,0,0
147,0,3,9.0,2,2,1
148,0,2,36.5,0,2,0
149,0,2,42.0,0,0,0
150,0,2,51.0,0,0,0
151,1,1,22.0,1,0,1
152,0,3,55.5,0,0,0
153,0,3,40.5,0,2,0
154,0,3,,0,0,0
155,0,1,51.0,0,1,0
156,1,3,16.0,0,0,1
157,0,3,30.0,0,0,0
158,0,3,,0,0,0
159,0,3,,8,2,0
160,0,3,44.0,0,1,0
161,1,2,40.0,0,0,1
162,0,3,26.0,0,0,0
163,0,3,17.0,0,0,0
164,0,3,1.0,4,1,0
165,1,3,9.0,0,2,0
166,1,1,,0,1,1
167,0,3,45.0,1,4,1
168,0,1,,0,0,0
169,0,3,28.0,0,0,0
170,0,1,61.0,0,0,0
171,0,3,4.0,4,1,0
172,1,3,1.0,1,1,1
173,0,3,21.0,0,0,0
174,0,1,56.0,0,0,0
175,0,3,18.0,1,1,0
176,0,3,,3,1,0
177,0,1,50.0,0,0,1
178,0,2,30.0,0,0,0
179,0,3,36.0,0,0,0
180,0,3,,8,2,1
181,0,2,,0,0,0
182,0,3,9.0,4,2,0
183,1,2,1.0,2,1,0
184,1,3,4.0,0,2,1
185,0,1,,0,0,0
186,1,3,,1,0,1
187,1,1,45.0,0,0,0
188,0,3,40.0,1,1,0
189,0,3,36.0,0,0,0
190,1,2,32.0,0,0,1
191,0,2,19.0,0,0,0
192,1,3,19.0,1,0,1
193,1,2,3.0,1,1,0
194,1,1,44.0,0,0,1
195,1,1,58.0,0,0,1
196,0,3,,0,0,0
197,0,3,42.0,0,1,0
198,1,3,,0,0,1
199,0,2,24.0,0,0,1
200,0,3,28.0,0,0,0
201,0,3,,8,2,0
202,0,3,34.0,0,0,0
203,0,3,45.5,0,0,0
204,1,3,18.0,0,0,0
205,0,3,2.0,0,1,1
206,0,3,32.0,1,0,0
207,1,3,26.0,0,0,0
208,1,3,16.0,0,0,1
209,1,1,40.0,0,0,0
210,0,3,24.0,0,0,0
211,1,2,35.0,0,0,1
212,0,3,22.0,0,0,0
213,0,2,30.0,0,0,0
214,0,3,,1,0,0
215,1,1,31.0,1,0,1
216,1,3,27.0,0,0,1
217,0,2,42.0,1,0,0
218,1,1,32.0,0,0,1
219,0,2,30.0,0,0,0
220,1,3,16.0,0,0,0
221,0,2,27.0,0,0,0
222,0,3,51.0,0,0,0
223,0,3,,0,0,0
224,1,1,38.0,1,0,0
225,0,3,22.0,0,0,0
226,1,2,19.0,0,0,0
227,0,3,20.5,0,0,0
228,0,2,18.0,0,0,0
229,0,3,,3,1,1
230,1,1,35.0,1,0,1
231,0,3,29.0,0,0,0
232,0,2,59.0,0,0,0
233,1,3,5.0,4,2,1
234,0,2,24.0,0,0,0
235,0,3,,0,0,1
236,0,2,44.0,1,0,0
237,1,2,8.0,0,2,1
238,0,2,19.0,0,0,0
239,0,2,33.0,0,0,0
240,0,3,,1,0,1
241,1,3,,1,0,1
242,0,2,29.0,0,0,0
243,0,3,22.0,0,0,0
244,0,3,30.0,0,0,0
245,0,1,44.0,2,0,0
246,0,3,25.0,0,0,1
247,1,2,24.0,0,2,1
248,1,1,37.0,1,1,0
249,0,2,54.0,1,0,0
250,0,3,,0,0,0
251,0,3,29.0,1,1,1
252,0,1,62.0,0,0,0
253,0,3,30.0,1,0,0
254,0,3,41.0,0,2,1
255,1,3,29.0,0,2,1
256,1,1,,0,0,1
257,1,1,30.0,0,0,1
258,1,1,35.0,0,0,1
259,1,2,50.0,0,1,1
260,0,3,,0,0,0
261,1,3,3.0,4,2,0
262,0,1,52.0,1,1,0
263,0,1,40.0,0,0,0
264,0,3,,0,0,1
265,0,2,36.0,0,0,0
266,0,3,16.0,4,1,0
267,1,3,25.0,1,0,0
268,1,1,58.0,0,1,1
269,1,1,35.0,0,0,1
270,0,1,,0,0,0
271,1,3,25.0,0,0,0
272,1,2,41.0,0,1,1
273,0,1,37.0,0,1,0
274,1,3,,0,0,1
275,1,1,63.0,1,0,1
276,0,3,45.0,0,0,1
277,0,2,,0,0,0
278,0,3,7.0,4,1,0
279,1,3,35.0,1,1,1
280,0,3,65.0,0,0,0
281,0,3,28.0,0,0,0
282,0,3,16.0,0,0,0
283,1,3,19.0,0,0,0
284,0,1,,0,0,0
285,0,3,33.0,0,0,0
286,1,3,30.0,0,0,0
287,0,3,22.0,0,0,0
288,1,2,42.0,0,0,0
289,1,3,22.0,0,0,1
290,1,1,26.0,0,0,1
291,1,1,19.0,1,0,1
292,0,2,36.0,0,0,0
293,0,3,24.0,0,0,1
294,0,3,24.0,0,0,0
295,0,1,,0,0,0
296,0,3,23.5,0,0,0
297,0,1,2.0,1,2,1
298,1,1,,0,0,0
299,1,1,50.0,0,1,1
300,1,3,,0,0,1
301,1,3,,2,0,0
302,0,3,19.0,0,0,0
303,1,2,,0,0,1
304,0,3,,0,0,0
305,1,1,0.92,1,2,0
306,1,1,,0,0,1
307,1,1,17.0,1,0,1
308,0,2,30.0,1,0,0
309,1,1,30.0,0,0,1
310,1,1,24.0,0,0,1
311,1,1,18.0,2,2,1
312,0,2,26.0,1,1,1
313,0,3,28.0,0,0,0
314,0,2,43.0,1,1,0
315,1,3,26.0,0,0,1
316,1,2,24.0,1,0,1
317,0,2,54.0,0,0,0
318,1,1,31.0,0,2,1
319,1,1,40.0,1,1,1
320,0,3,22.0,0,0,0
321,0,3,27.0,0,0,0
322,1,2,30.0,0,0,1
323,1,2,22.0,1,1,1
324,0,3,,8,2,0
325,1,1,36.0,0,0,1
326,0,3,61.0,0,0,0
327,1,2,36.0,0,0,1
328,1,3,31.0,1,1,1
329,1,1,16.0,0,1,1
330,1,3,,2,0,1
331,0,1,45.5,0,0,0
332,0,1,38.0,0,1,0
333,0,3,16.0,2,0,0
334,1,1,,1,0,1
335,0,3,,0,0,0
336,0,1,29.0,1,0,0
337,1,1,41.0,0,0,1
338,1,3,45.0,0,0,0
339,0,1,45.0,0,0,0
340,1,2,2.0,1,1,0
341,1,1,24.0,3,2,1
342,0,2,28.0,0,0,0
343,0,2,25.0,0,0,0
344,0,2,36.0,0,0,0
345,1,2,24.0,0,0,1
346,1,2,40.0,0,0,1
347,1,3,,1,0,1
348,1,3,3.0,1,1,0
349,0,3,42.0,0,0,0
350,0,3,23.0,0,0,0
351,0,1,,0,0,0
352,0,3,15.0,1,1,0
353,0,3,25.0,1,0,0
354,0,3,,0,0,0
355,0,3,28.0,0,0,0
356,1,1,22.0,0,1,1
357,0,2,38.0,0,0,1
358,1,3,,0,0,1
359,1,3,,0,0,1
360,0,3,40.0,1,4,0
361,0,2,29.0,1,0,0
362,0,3,45.0,0,1,1
363,0,3,35.0,0,0,0
364,0,3,,1,0,0
365,0,3,30.0,0,0,0
366,1,1,60.0,1,0,1
367,1,3,,0,0,1
368,1,3,,0,0,1
369,1,1,24.0,0,0,1
370,1,1,25.0,1,0,0
371,0,3,18.0,1,0,0
372,0,3,19.0,0,0,0
373,0,1,22.0,0,0,0
374,0,3,3.0,3,1,1
375,1,1,,1,0,1
376,1,3,22.0,0,0,1
377,0,1,27.0,0,2,0
378,0,3,20.0,0,0,0
379,0,3,19.0,0,0,0
380,1,1,42.0,0,0,1
381,1,3,1.0,0,2,1
382,0,3,32.0,0,0,0
383,1,1,35.0,1,0,1
384,0,3,,0,0,0
385,0,2,18.0,0,0,0
386,0,3,1.0,5,2,0
387,1,2,36.0,0,0,1
388,0,3,,0,0,0
389,1,2,17.0,0,0,1
390,1,1,36.0,1,2,0
391,1,3,21.0,0,0,0
392,0,3,28.0,2,0,0
393,1,1,23.0,1,0,1
394,1,3,24.0,0,2,1
395,0,3,22.0,0,0,0
396,0,3,31.0,0,0,1
397,0,2,46.0,0,0,0
398,0,2,23.0,0,0,0
399,1,2,28.0,0,0,1
400,1,3,39.0,0,0,0
401,0,3,26.0,0,0,0
402,0,3,21.0,1,0,1
403,0,3,28.0,1,0,0
404,0,3,20.0,0,0,1
405,0,2,34.0,1,0,0
406,0,3,51.0,0,0,0
407,1,2,3.0,1,1,0
408,0,3,21.0,0,0,0
409,0,3,,3,1,1
410,0,3,,0,0,0
411,0,3,,0,0,0
412,1,1,33.0,1,0,1
413,0,2,,0,0,0
414,1,3,44.0,0,0,0
415,0,3,,0,0,1
416,1,2,34.0,1,1,1
417,1,2,18.0,0,2,1
418,0,2,30.0,0,0,0
419,0,3,10.0,0,2,1
420,0,3,,0,0,0
421,0,3,21.0,0,0,0
422,0,3,29.0,0,0,0
423,0,3,28.0,1,1,1
424,0,3,18.0,1,1,0
425,0,3,,0,0,0
426,1,2,28.0,1,0,1
427,1,2,19.0,0,0,1
428,0,3,,0,0,0
429,1,3,32.0,0,0,0
430,1,1,28.0,0,0,0
431,1,3,,1,0,1
432,1,2,42.0,1,0,1
433,0,3,17.0,0,0,0
434,0,1,50.0,1,0,0
435,1,1,14.0,1,2,1
436,0,3,21.0,2,2,1
437,1,2,24.0,2,3,1
438,0,1,64.0,1,4,0
439,0,2,31.0,0,0,0
440,1,2,45.0,1,1,1
441,0,3,20.0,0,0,0
442,0,3,25.0,1,0,0
443,1,2,28.0,0,0,1
444,1,3,,0,0,0
445,1,1,4.0,0,2,0
446,1,2,13.0,0,1,1
447,1,1,34.0,0,0,0
448,1,3,5.0,2,1,1
449,1,1,52.0,0,0,0
450,0,2,36.0,1,2,0
451,0,3,,1,0,0
452,0,1,30.0,0,0,0
453,1,1,49.0,1,0,0
454,0,3,,0,0,0
455,1,3,29.0,0,0,0
456,0,1,65.0,0,0,0
457,1,1,,1,0,1
458,1,2,50.0,0,0,1
459,0,3,,0,0,0
460,1,1,48.0,0,0,0
461,0,3,34.0,0,0,0
462,0,1,47.0,0,0,0
463,0,2,48.0,0,0,0
464,0,3,,0,0,0
465,0,3,38.0,0,0,0
466,0,2,,0,0,0
467,0,1,56.0,0,0,0
468,0,3,,0,0,0
469,1,3,0.75,2,1,1
470,0,3,,0,0,0
471,0,3,38.0,0,0,0
472,1,2,33.0,1,2,1
473,1,2,23.0,0,0,1
474,0,3,22.0,0,0,1
475,0,1,,0,0,0
476,0,2,34.0,1,0,0
477,0,3,29.0,1,0,0
478,0,3,22.0,0,0,0
479,1,3,2.0,0,1,1
480,0,3,9.0,5,2,0
481,0,2,,0,0,0
482,0,3,50.0,0,0,0
483,1,3,63.0,0,0,1
484,1,1,25.0,1,0,0
485,0,3,,3,1,1
486,1,1,35.0,1,0,1
487,0,1,58.0,0,0,0
488,0,3,30.0,0,0,0
489,1,3,9.0,1,1,0
490,0,3,,1,0,0
491,0,3,21.0,0,0,0
492,0,1,55.0,0,0,0
493,0,1,71.0,0,0,0
494,0,3,21.0,0,0,0
495,0,3,,0,0,0
496,1,1,54.0,1,0,1
497,0,3,,0,0,0
498,0,1,25.0,1,2,1
499,0,3,24.0,0,0,0
500,0,3,17.0,0,0,0
501,0,3,21.0,0,0,1
502,0,3,,0,0,1
503,0,3,37.0,0,0,1
504,1,1,16.0,0,0,1
505,0,1,18.0,1,0,0
506,1,2,33.0,0,2,1
507,1,1,,0,0,0
508,0,3,28.0,0,0,0
509,1,3,26.0,0,0,0
510,1,3,29.0,0,0,0
511,0,3,,0,0,0
512,1,1,36.0,0,0,0
513,1,1,54.0,1,0,1
514,0,3,24.0,0,0,0
515,0,1,47.0,0,0,0
516,1,2,34.0,0,0,1
517,0,3,,0,0,0
518,1,2,36.0,1,0,1
519,0,3,32.0,0,0,0
520,1,1,30.0,0,0,1
521,0,3,22.0,0,0,0
522,0,3,,0,0,0
523,1,1,44.0,0,1,1
524,0,3,,0,0,0
525,0,3,40.5,0,0,0
526,1,2,50.0,0,0,1
527,0,1,,0,0,0
528,0,3,39.0,0,0,0
529,0,2,23.0,2,1,0
530,1,2,2.0,1,1,1
531,0,3,,0,0,0
532,0,3,17.0,1,1,0
533,1,3,,0,2,1
534,0,3,30.0,0,0,1
535,1,2,7.0,0,2,1
536,0,1,45.0,0,0,0
537,1,1,30.0,0,0,1
538,0,3,,0,0,0
539,1,1,22.0,0,2,1
540,1,1,36.0,0,2,1
541,0,3,9.0,4,2,1
542,0,3,11.0,4,2,1
543,1,2,32.0,1,0,0
544,0,1,50.0,1,0,0
545,0,1,64.0,0,0,0
546,1,2,19.0,1,0,1
547,1,2,,0,0,0
548,0,3,33.0,1,1,0
549,1,2,8.0,1,1,0
550,1,1,17.0,0,2,0
551,0,2,27.0,0,0,0
552,0,3,,0,0,0
553,1,3,22.0,0,0,0
554,1,3,22.0,0,0,1
555,0,1,62.0,0,0,0
556,1,1,48.0,1,0,1
557,0,1,,0,0,0
558,1,1,39.0,1,1,1
559,1,3,36.0,1,0,1
560,0,3,,0,0,0
561,0,3,40.0,0,0,0
562,0,2,28.0,0,0,0
563,0,3,,0,0,0
564,0,3,,0,0,1
565,0,3,24.0,2,0,0
566,0,3,19.0,0,0,0
567,0,3,29.0,0,4,1
568,0,3,,0,0,0
569,1,3,32.0,0,0,0
570,1,2,62.0,0,0,0
571,1,1,53.0,2,0,1
572,1,1,36.0,0,0,0
573,1,3,,0,0,1
574,0,3,16.0,0,0,0
575,0,3,19.0,0,0,0
576,1,2,34.0,0,0,1
577,1,1,39.0,1,0,1
578,0,3,,1,0,1
579,1,3,32.0,0,0,0
580,1,2,25.0,1,1,1
581,1,1,39.0,1,1,1
582,0,2,54.0,0,0,0
583,0,1,36.0,0,0,0
584,0,3,,0,0,0
585,1,1,18.0,0,2,1
586,0,2,47.0,0,0,0
587,1,1,60.0,1,1,0
588,0,3,22.0,0,0,0
589,0,3,,0,0,0
590,0,3,35.0,0,0,0
591,1,1,52.0,1,0,1
592,0,3,47.0,0,0,0
593,0,3,,0,2,1
594,0,2,37.0,1,0,0
595,0,3,36.0,1,1,0
596,1,2,,0,0,1
597,0,3,49.0,0,0,0
598,0,3,,0,0,0
599,1,1,49.0,1,0,0
600,1,2,24.0,2,1,1
601,0,3,,0,0,0
602,0,1,,0,0,0
603,0,3,44.0,0,0,0
604,1,1,35.0,0,0,0
605,0,3,36.0,1,0,0
606,0,3,30.0,0,0,0
607,1,1,27.0,0,0,0
608,1,2,22.0,1,2,1
609,1,1,40.0,0,0,1
610,0,3,39.0,1,5,1
611,0,3,,0,0,0
612,1,3,,1,0,1
613,0,3,,0,0,0
614,0,3,35.0,0,0,0
615,1,2,24.0,1,2,1
616,0,3,34.0,1,1,0
617,0,3,26.0,1,0,1
618,1,2,4.0,2,1,1
619,0,2,26.0,0,0,0
620,0,3,27.0,1,0,0
621,1,1,42.0,1,0,0
622,1,3,20.0,1,1,0
623,0,3,21.0,0,0,0
624,0,3,21.0,0,0,0
625,0,1,61.0,0,0,0
626,0,2,57.0,0,0,0
627,1,1,21.0,0,0,1
628,0,3,26.0,0,0,0
629,0,3,,0,0,0
630,1,1,80.0,0,0,0
631,0,3,51.0,0,0,0
632,1,1,32.0,0,0,0
633,0,1,,0,0,0
634,0,3,9.0,3,2,1
635,1,2,28.0,0,0,1
636,0,3,32.0,0,0,0
637,0,2,31.0,1,1,0
638,0,3,41.0,0,5,1
639,0,3,,1,0,0
640,0,3,20.0,0,0,0
641,1,1,24.0,0,0,1
642,0,3,2.0,3,2,1
643,1,3,,0,0,0
644,1,3,0.75,2,1,1
645,1,1,48.0,1,0,0
646,0,3,19.0,0,0,0
647,1,1,56.0,0,0,0
648,0,3,,0,0,0
649,1,3,23.0,0,0,1
650,0,3,,0,0,0
651,1,2,18.0,0,1,1
652,0,3,21.0,0,0,0
653,1,3,,0,0,1
654,0,3,18.0,0,0,1
655,0,2,24.0,2,0,0
656,0,3,,0,0,0
657,0,3,32.0,1,1,1
658,0,2,23.0,0,0,0
659,0,1,58.0,0,2,0
660,1,1,50.0,2,0,0
661,0,3,40.0,0,0,0
662,0,1,47.0,0,0,0
663,0,3,36.0,0,0,0
664,1,3,20.0,1,0,0
665,0,2,32.0,2,0,0
666,0,2,25.0,0,0,0
667,0,3,,0,0,0
668,0,3,43.0,0,0,0
669,1,1,,1,0,1
670,1,2,40.0,1,1,1
671,0,1,31.0,1,0,0
672,0,2,70.0,0,0,0
673,1,2,31.0,0,0,0
674,0,2,,0,0,0
675,0,3,18.0,0,0,0
676,0,3,24.5,0,0,0
677,1,3,18.0,0,0,1
678,0,3,43.0,1,6,1
679,1,1,36.0,0,1,0
680,0,3,,0,0,1
681,1,1,27.0,0,0,0
682,0,3,20.0,0,0,0
683,0,3,14.0,5,2,0
684,0,2,60.0,1,1,0
685,0,2,25.0,1,2,0
686,0,3,14.0,4,1,0
687,0,3,19.0,0,0,0
688,0,3,18.0,0,0,0
689,1,1,15.0,0,1,1
690,1,1,31.0,1,0,0
691,1,3,4.0,0,1,1
692,1,3,,0,0,0
693,0,3,25.0,0,0,0
694,0,1,60.0,0,0,0
695,0,2,52.0,0,0,0
696,0,3,44.0,0,0,0
697,1,3,,0,0,1
698,0,1,49.0,1,1,0
699,0,3,42.0,0,0,0
700,1,1,18.0,1,0,1
701,1,1,35.0,0,0,0
702,0,3,18.0,0,1,1
703,0,3,25.0,0,0,0
704,0,3,26.0,1,0,0
705,0,2,39.0,0,0,0
706,1,2,45.0,0,0,1
707,1,1,42.0,0,0,0
708,1,1,22.0,0,0,1
709,1,3,,1,1,0
710,1,1,24.0,0,0,1
711,0,1,,0,0,0
712,1,1,48.0,1,0,0
713,0,3,29.0,0,0,0
714,0,2,52.0,0,0,0
715,0,3,19.0,0,0,0
716,1,1,38.0,0,0,1
717,1,2,27.0,0,0,1
718,0,3,,0,0,0
719,0,3,33.0,0,0,0
720,1,2,6.0,0,1,1
721,0,3,17.0,1,0,0
722,0,2,34.0,0,0,0
723,0,2,50.0,0,0,0
724,1,1,27.0,1,0,0
725,0,3,20.0,0,0,0
726,1,2,30.0,3,0,1
727,1,3,,0,0,1
728,0,2,25.0,1,0,0
729,0,3,25.0,1,0,1
730,1,1,29.0,0,0,1
731,0,3,11.0,0,0,0
732,0,2,,0,0,0
733,0,2,23.0,0,0,0
734,0,2,23.0,0,0,0
735,0,3,28.5,0,0,0
736,0,3,48.0,1,3,1
737,1,1,35.0,0,0,0
738,0,3,,0,0,0
739,0,3,,0,0,0
740,1,1,,0,0,0
741,0,1,36.0,1,0,0
742,1,1,21.0,2,2,1
743,0,3,24.0,1,0,0
744,1,3,31.0,0,0,0
745,0,1,70.0,1,1,0
746,0,3,16.0,1,1,0
747,1,2,30.0,0,0,1
748,0,1,19.0,1,0,0
749,0,3,31.0,0,0,0
750,1,2,4.0,1,1,1
751,1,3,6.0,0,1,0
752,0,3,33.0,0,0,0
753,0,3,23.0,0,0,0
754,1,2,48.0,1,2,1
755,1,2,0.67,1,1,0
756,0,3,28.0,0,0,0
757,0,2,18.0,0,0,0
758,0,3,34.0,0,0,0
759,1,1,33.0,0,0,1
760,0,3,,0,0,0
761,0,3,41.0,0,0,0
762,1,3,20.0,0,0,0
763,1,1,36.0,1,2,1
764,0,3,16.0,0,0,0
765,1,1,51.0,1,0,1
766,0,1,,0,0,0
767,0,3,30.5,0,0,1
768,0,3,,1,0,0
769,0,3,32.0,0,0,0
770,0,3,24.0,0,0,0
771,0,3,48.0,0,0,0
772,0,2,57.0,0,0,1
773,0,3,,0,0,0
774,1,2,54.0,1,3,1
775,0,3,18.0,0,0,0
776,0,3,,0,0,0
777,1,3,5.0,0,0,1
778,0,3,,0,0,0
779,1,1,43.0,0,1,1
780,1,3,13.0,0,0,1
781,1,1,17.0,1,0,1
782,0,1,29.0,0,0,0
783,0,3,,1,2,0
784,0,3,25.0,0,0,0
785,0,3,25.0,0,0,0
786,1,3,18.0,0,0,1
787,0,3,8.0,4,1,0
788,1,3,1.0,1,2,0
789,0,1,46.0,0,0,0
790,0,3,,0,0,0
791,0,2,16.0,0,0,0
792,0,3,,8,2,1
793,0,1,,0,0,0
794,0,3,25.0,0,0,0
795,0,2,39.0,0,0,0
796,1,1,49.0,0,0,1
797,1,3,31.0,0,0,1
798,0,3,30.0,0,0,0
799,0,3,30.0,1,1,1
800,0,2,34.0,0,0,0
801,1,2,31.0,1,1,1
802,1,1,11.0,1,2,0
803,1,3,0.42,0,1,0
804,1,3,27.0,0,0,0
805,0,3,31.0,0,0,0
806,0,1,39.0,0,0,0
807,0,3,18.0,0,0,1
808,0,2,39.0,0,0,0
809,1,1,33.0,1,0,1
810,0,3,26.0,0,0,0
811,0,3,39.0,0,0,0
812,0,2,35.0,0,0,0
813,0,3,6.0,4,2,1
814,0,3,30.5,0,0,0
815,0,1,,0,0,0
816,0,3,23.0,0,0,1
817,0,2,31.0,1,1,0
818,0,3,43.0,0,0,0
819,0,3,10.0,3,2,0
820,1,1,52.0,1,1,1
821,1,3,27.0,0,0,0
822,0,1,38.0,0,0,0
823,1,3,27.0,0,1,1
824,0,3,2.0,4,1,0
825,0,3,,0,0,0
826,0,3,,0,0,0
827,1,2,1.0,0,2,0
828,1,3,,0,0,0
829,1,1,62.0,0,0,1
830,1,3,15.0,1,0,1
831,1,2,0.83,1,1,0
832,0,3,,0,0,0
833,0,3,23.0,0,0,0
834,0,3,18.0,0,0,0
835,1,1,39.0,1,1,1
836,0,3,21.0,0,0,0
837,0,3,,0,0,0
838,1,3,32.0,0,0,0
839,1,1,,0,0,0
840,0,3,20.0,0,0,0
841,0,2,16.0,0,0,0
842,1,1,30.0,0,0,1
843,0,3,34.5,0,0,0
844,0,3,17.0,0,0,0
845,0,3,42.0,0,0,0
846,0,3,,8,2,0
847,0,3,35.0,0,0,0
848,0,2,28.0,0,1,0
849,1,1,,1,0,1
850,0,3,4.0,4,2,0
851,0,3,74.0,0,0,0
852,0,3,9.0,1,1,1
853,1,1,16.0,0,1,1
854,0,2,44.0,1,0,1
855,1,3,18.0,0,1,1
856,1,1,45.0,1,1,1
857,1,1,51.0,0,0,0
858,1,3,24.0,0,3,1
859,0,3,,0,0,0
860,0,3,41.0,2,0,0
861,0,2,21.0,1,0,0
862,1,1,48.0,0,0,1
863,0,3,,8,2,1
864,0,2,24.0,0,0,0
865,1,2,42.0,0,0,1
866,1,2,27.0,1,0,1
867,0,1,31.0,0,0,0
868,0,3,,0,0,0
869,1,3,4.0,1,1,0
870,0,3,26.0,0,0,0
871,1,1,47.0,1,1,1
872,0,1,33.0,0,0,0
873,0,3,47.0,0,0,0
874,1,2,28.0,1,0,1
875,1,3,15.0,0,0,1
876,0,3,20.0,0,0,0
877,0,3,19.0,0,0,0
878,0,3,,0,0,0
879,1,1,56.0,0,1,1
880,1,2,25.0,0,1,1
881,0,3,33.0,0,0,0
882,0,3,22.0,0,0,1
883,0,2,28.0,0,0,0
884,0,3,25.0,0,0,0
885,0,3,39.0,0,5,1
886,0,2,27.0,0,0,0
887,1,1,19.0,0,0,1
888,0,3,,1,2,1
889,1,1,26.0,0,0,0
890,0,3,32.0,0,0,0
